lang,scale,classifier,mean_f1,std_f1,n_trials
amh,100,naive_bayes,0.4262,0.0557,5
amh,100,svm,0.4017,0.0452,5
amh,100,xgboost,0.2159,0.013,5
amh,250,naive_bayes,0.5362,0.0453,5
amh,250,svm,0.5433,0.0312,5
amh,250,xgboost,0.3085,0.0357,5
amh,500,naive_bayes,0.6564,0.0178,5
amh,500,svm,0.6499,0.0292,5
amh,500,xgboost,0.4006,0.0247,5
amh,full,naive_bayes,0.7161,0.0,1
amh,full,svm,0.7058,0.0,1
amh,full,xgboost,0.4449,0.0,1
gaz,100,naive_bayes,0.3873,0.0155,5
gaz,100,svm,0.4255,0.0393,5
gaz,100,xgboost,0.2923,0.0443,5
gaz,250,naive_bayes,0.5032,0.0264,5
gaz,250,svm,0.5202,0.0402,5
gaz,250,xgboost,0.3789,0.0564,5
gaz,500,naive_bayes,0.6233,0.025,5
gaz,500,svm,0.5891,0.0297,5
gaz,500,xgboost,0.4592,0.0349,5
gaz,full,naive_bayes,0.6337,0.0,1
gaz,full,svm,0.6278,0.0,1
gaz,full,xgboost,0.5031,0.0,1
hau,100,naive_bayes,0.4496,0.0366,5
hau,100,svm,0.4754,0.0455,5
hau,100,xgboost,0.3091,0.0254,5
hau,250,naive_bayes,0.5493,0.0612,5
hau,250,svm,0.5629,0.0286,5
hau,250,xgboost,0.4476,0.0408,5
hau,500,naive_bayes,0.6193,0.01,5
hau,500,svm,0.6681,0.0375,5
hau,500,xgboost,0.5375,0.0412,5
hau,full,naive_bayes,0.6624,0.0,1
hau,full,svm,0.7102,0.0,1
hau,full,xgboost,0.5747,0.0,1
ibo,100,naive_bayes,0.527,0.0321,5
ibo,100,svm,0.5554,0.0273,5
ibo,100,xgboost,0.3837,0.0279,5
ibo,250,naive_bayes,0.5914,0.0351,5
ibo,250,svm,0.6682,0.0435,5
ibo,250,xgboost,0.5078,0.0336,5
ibo,500,naive_bayes,0.6903,0.0107,5
ibo,500,svm,0.7113,0.0204,5
ibo,500,xgboost,0.5611,0.0203,5
ibo,full,naive_bayes,0.7321,0.0,1
ibo,full,svm,0.7502,0.0,1
ibo,full,xgboost,0.6092,0.0,1
lug,100,naive_bayes,0.4534,0.0516,5
lug,100,svm,0.4329,0.0426,5
lug,100,xgboost,0.3069,0.0393,5
lug,250,naive_bayes,0.5561,0.0553,5
lug,250,svm,0.5587,0.0213,5
lug,250,xgboost,0.4278,0.0347,5
lug,500,naive_bayes,0.7233,0.0431,5
lug,500,svm,0.6462,0.0241,5
lug,500,xgboost,0.4839,0.0249,5
lug,full,naive_bayes,0.7609,0.0,1
lug,full,svm,0.7111,0.0,1
lug,full,xgboost,0.5185,0.0,1
run,100,naive_bayes,0.4565,0.0224,5
run,100,svm,0.4473,0.0372,5
run,100,xgboost,0.3087,0.0458,5
run,250,naive_bayes,0.5793,0.0185,5
run,250,svm,0.5981,0.0452,5
run,250,xgboost,0.4183,0.0434,5
run,500,naive_bayes,0.7067,0.0296,5
run,500,svm,0.6826,0.0182,5
run,500,xgboost,0.5623,0.0233,5
run,full,naive_bayes,0.7567,0.0,1
run,full,svm,0.7164,0.0,1
run,full,xgboost,0.6522,0.0,1
sna,100,naive_bayes,0.491,0.0528,5
sna,100,svm,0.4794,0.0742,5
sna,100,xgboost,0.3313,0.0346,5
sna,250,naive_bayes,0.5786,0.0541,5
sna,250,svm,0.5755,0.0381,5
sna,250,xgboost,0.4414,0.0178,5
sna,500,naive_bayes,0.6717,0.0263,5
sna,500,svm,0.6423,0.0301,5
sna,500,xgboost,0.5373,0.0307,5
sna,full,naive_bayes,0.7084,0.0,1
sna,full,svm,0.7171,0.0,1
sna,full,xgboost,0.5437,0.0,1
swh,100,naive_bayes,0.5015,0.0477,5
swh,100,svm,0.4797,0.0414,5
swh,100,xgboost,0.2895,0.029,5
swh,250,naive_bayes,0.5798,0.0356,5
swh,250,svm,0.5928,0.0165,5
swh,250,xgboost,0.406,0.0577,5
swh,500,naive_bayes,0.742,0.0259,5
swh,500,svm,0.7238,0.0193,5
swh,500,xgboost,0.4963,0.024,5
swh,full,naive_bayes,0.7947,0.0,1
swh,full,svm,0.7655,0.0,1
swh,full,xgboost,0.5643,0.0,1
yor,100,naive_bayes,0.3936,0.0531,5
yor,100,svm,0.3897,0.035,5
yor,100,xgboost,0.3133,0.0177,5
yor,250,naive_bayes,0.4794,0.0366,5
yor,250,svm,0.4819,0.0078,5
yor,250,xgboost,0.356,0.042,5
yor,500,naive_bayes,0.5927,0.0376,5
yor,500,svm,0.6113,0.0495,5
yor,500,xgboost,0.4157,0.0253,5
yor,full,naive_bayes,0.6328,0.0,1
yor,full,svm,0.637,0.0,1
yor,full,xgboost,0.4537,0.0,1
